plan,dist,statefips,state,black_alone,black_combo,pop,nh_white,hisp,seg_hisp,seg_nh_white,seg_nh_black,seg_black_alone,seg_black_combo
2212,6,01,AL,284910,293612,719724,361861,36588,-.31426665,-2.2400842,2.9564166,2.9640133,3.0037885
2212,7,01,AL,320711,330272,718985,334680,28364,-.6896466,-6.08711,7.1560206,7.1876335,7.1898031
2213,4,01,AL,61165,69427,715080,574154,41514,-.88501072,9.7669477,-8.030283,-8.0883389,-8.2849064
2213,5,01,AL,110509,121927,719549,492506,62054,1.3060064,-1.1282285,-.42575511,-.41674164,-.40417907
2213,3,01,AL,131246,140202,717746,514532,34904,-.5959118,9.5907803,-8.5933285,-8.632391,-8.6269598
2213,1,01,AL,188865,198732,714702,451371,27325,.075631149,.10852353,-.12548846,-.12383236,-.12689167
2213,2,01,AL,198756,210564,718493,442247,33298,.26664284,9.3321514,-9.7770233,-9.7949324,-9.7242079
2213,6,01,AL,284910,293612,719724,361861,36588,-.31426665,-2.2400842,2.9564166,2.9640133,3.0037885
2213,7,01,AL,320711,330272,718985,334680,28364,-.6896466,-6.08711,7.1560206,7.1876335,7.1898031
2214,4,01,AL,61165,69427,715080,574154,41514,-.88501072,9.7669477,-8.030283,-8.0883389,-8.2849064
2214,5,01,AL,110509,121927,719549,492506,62054,1.3060064,-1.1282285,-.42575511,-.41674164,-.40417907
2214,3,01,AL,131246,140202,717746,514532,34904,-.5959118,9.5907803,-8.5933285,-8.632391,-8.6269598
2214,1,01,AL,188865,198732,714702,451371,27325,.075631149,.10852353,-.12548846,-.12383236,-.12689167
2214,2,01,AL,198756,210564,718493,442247,33298,.26664284,9.3321514,-9.7770233,-9.7949324,-9.7242079
2214,6,01,AL,284910,293612,719724,361861,36588,-.31426665,-2.2400842,2.9564166,2.9640133,3.0037885
2214,7,01,AL,320711,330272,718985,334680,28364,-.6896466,-6.08711,7.1560206,7.1876335,7.1898031
2215,4,01,AL,61165,69427,715080,574154,41514,-.88501072,9.7669477,-8.030283,-8.0883389,-8.2849064
2215,5,01,AL,110509,121927,719549,492506,62054,1.3060064,-1.1282285,-.42575511,-.41674164,-.40417907
2215,3,01,AL,131246,140202,717746,514532,34904,-.5959118,9.5907803,-8.5933285,-8.632391,-8.6269598
2215,1,01,AL,188865,198732,714702,451371,27325,.075631149,.10852353,-.12548846,-.12383236,-.12689167
2215,2,01,AL,198756,210564,718493,442247,33298,.26664284,9.3321514,-9.7770233,-9.7949324,-9.7242079
2215,6,01,AL,284910,293612,719724,361861,36588,-.31426665,-2.2400842,2.9564166,2.9640133,3.0037885
2215,7,01,AL,320711,330272,718985,334680,28364,-.6896466,-6.08711,7.1560206,7.1876335,7.1898031
2216,4,01,AL,61165,69427,715080,574154,41514,-.88501072,9.7669477,-8.030283,-8.0883389,-8.2849064
2216,5,01,AL,110509,121927,719549,492506,62054,1.3060064,-1.1282285,-.42575511,-.41674164,-.40417907
2216,3,01,AL,131246,140202,717746,514532,34904,-.5959118,9.5907803,-8.5933285,-8.632391,-8.6269598
2216,1,01,AL,188865,198732,714702,451371,27325,.075631149,.10852353,-.12548846,-.12383236,-.12689167
2216,2,01,AL,198756,210564,718493,442247,33298,.26664284,9.3321514,-9.7770233,-9.7949324,-9.7242079
2216,6,01,AL,284910,293612,719724,361861,36588,-.31426665,-2.2400842,2.9564166,2.9640133,3.0037885
2216,7,01,AL,320711,330272,718985,334680,28364,-.6896466,-6.08711,7.1560206,7.1876335,7.1898031
2217,4,01,AL,61165,69427,715080,574154,41514,-.88501072,9.7669477,-8.030283,-8.0883389,-8.2849064
2217,5,01,AL,110509,121927,719549,492506,62054,1.3060064,-1.1282285,-.42575511,-.41674164,-.40417907
2217,3,01,AL,131246,140202,717746,514532,34904,-.5959118,9.5907803,-8.5933285,-8.632391,-8.6269598
2217,1,01,AL,188865,198732,714702,451371,27325,.075631149,.10852353,-.12548846,-.12383236,-.12689167
2217,2,01,AL,198756,210564,718493,442247,33298,.26664284,9.3321514,-9.7770233,-9.7949324,-9.7242079
2217,6,01,AL,284910,293612,719724,361861,36588,-.31426665,-2.2400842,2.9564166,2.9640133,3.0037885
2217,7,01,AL,320711,330272,718985,334680,28364,-.6896466,-6.08711,7.1560206,7.1876335,7.1898031
2218,4,01,AL,69912,77636,715680,566538,42732,-.32540992,12.1386,-10.82651,-10.893611,-11.167278
2218,5,01,AL,110508,121926,718560,492205,61370,1.2208173,-1.0815729,-.39090517,-.38190112,-.36866966
2218,3,01,AL,118307,127650,715231,520950,36614,-.80605894,8.7762957,-8.0516701,-8.0758781,-7.9912939
2218,1,01,AL,191575,201299,717488,452808,26775,.030574303,.39892483,-.25391909,-.25770903,-.28304285
2218,2,01,AL,204544,216310,718731,435514,33356,.31970543,7.580595,-8.1815176,-8.1923246,-8.1278639
2218,6,01,AL,286240,294883,720135,360902,36140,-.39470059,-2.7818038,3.5570471,3.5642707,3.5936794
2218,7,01,AL,315076,325032,718454,342434,27060,-.88040596,-5.663095,7.2808318,7.3053265,7.3438993
2219,4,01,AL,69912,77636,715680,566538,42732,-.32540992,12.1386,-10.82651,-10.893611,-11.167278
2219,5,01,AL,110508,121926,718560,492205,61370,1.2208173,-1.0815729,-.39090517,-.38190112,-.36866966
2219,3,01,AL,118307,127650,715231,520950,36614,-.80605894,8.7762957,-8.0516701,-8.0758781,-7.9912939
2219,1,01,AL,191575,201299,717488,452808,26775,.030574303,.39892483,-.25391909,-.25770903,-.28304285
2219,2,01,AL,204544,216310,718731,435514,33356,.31970543,7.580595,-8.1815176,-8.1923246,-8.1278639
2219,6,01,AL,286240,294883,720135,360902,36140,-.39470059,-2.7818038,3.5570471,3.5642707,3.5936794
2219,7,01,AL,315076,325032,718454,342434,27060,-.88040596,-5.663095,7.2808318,7.3053265,7.3438993
2220,4,01,AL,69912,77636,715680,566538,42732,-.32540992,12.1386,-10.82651,-10.893611,-11.167278
2220,5,01,AL,110508,121926,718560,492205,61370,1.2208173,-1.0815729,-.39090517,-.38190112,-.36866966
2220,3,01,AL,118307,127650,715231,520950,36614,-.80605894,8.7762957,-8.0516701,-8.0758781,-7.9912939
2220,1,01,AL,191575,201299,717488,452808,26775,.030574303,.39892483,-.25391909,-.25770903,-.28304285
2220,2,01,AL,204544,216310,718731,435514,33356,.31970543,7.580595,-8.1815176,-8.1923246,-8.1278639
2220,6,01,AL,286240,294883,720135,360902,36140,-.39470059,-2.7818038,3.5570471,3.5642707,3.5936794
2220,7,01,AL,315076,325032,718454,342434,27060,-.88040596,-5.663095,7.2808318,7.3053265,7.3438993
2221,4,01,AL,69912,77636,715680,566538,42732,-.32540992,12.1386,-10.82651,-10.893611,-11.167278
2221,5,01,AL,110508,121926,718560,492205,61370,1.2208173,-1.0815729,-.39090517,-.38190112,-.36866966
2221,3,01,AL,118307,127650,715231,520950,36614,-.80605894,8.7762957,-8.0516701,-8.0758781,-7.9912939
2221,1,01,AL,191575,201299,717488,452808,26775,.030574303,.39892483,-.25391909,-.25770903,-.28304285
2221,2,01,AL,204544,216310,718731,435514,33356,.31970543,7.580595,-8.1815176,-8.1923246,-8.1278639
2221,6,01,AL,286240,294883,720135,360902,36140,-.39470059,-2.7818038,3.5570471,3.5642707,3.5936794
2221,7,01,AL,315076,325032,718454,342434,27060,-.88040596,-5.663095,7.2808318,7.3053265,7.3438993
2222,4,01,AL,69912,77636,715680,566538,42732,-.32540992,12.1386,-10.82651,-10.893611,-11.167278
2222,5,01,AL,110508,121926,718560,492205,61370,1.2208173,-1.0815729,-.39090517,-.38190112,-.36866966
2222,3,01,AL,118307,127650,715231,520950,36614,-.80605894,8.7762957,-8.0516701,-8.0758781,-7.9912939
2222,1,01,AL,191575,201299,717488,452808,26775,.030574303,.39892483,-.25391909,-.25770903,-.28304285
2222,2,01,AL,204544,216310,718731,435514,33356,.31970543,7.580595,-8.1815176,-8.1923246,-8.1278639
2222,6,01,AL,286240,294883,720135,360902,36140,-.39470059,-2.7818038,3.5570471,3.5642707,3.5936794
2222,7,01,AL,315076,325032,718454,342434,27060,-.88040596,-5.663095,7.2808318,7.3053265,7.3438993
2223,4,01,AL,69912,77636,715680,566538,42732,-.32540992,12.1386,-10.82651,-10.893611,-11.167278
