geoid,block_vtda,total
350010001141009,35001000504,49
350010001141010,35001000504,32
350010001141011,35001000503,116
350010001141012,35001000503,93
350010001141013,35001000503,109
350010001141014,35001000503,94
350010001141015,35001000503,68
350010001141016,35001000503,62
350010001141017,35001000503,107
350010001141018,35001000503,97
350010001141019,35001000503,13
350010001141020,35001000503,47
350010001141021,35001000503,42
350010001142000,35001000525,0
350010001142001,35001000525,194
350010001142002,35001000525,89
350010001142003,35001000525,68
350010001142004,35001000505,45
350010001142005,35001000505,15
350010001142006,35001000525,87
350010001142007,35001000525,28
350010001142008,35001000505,109
350010001142009,35001000505,62
350010001142010,35001000505,58
350010001142011,35001000505,41
350010001142012,35001000505,93
350010001142013,35001000505,92
350010001142014,35001000525,57
350010001142015,35001000525,80
350010001142016,35001000525,34
350010001142017,35001000525,0
350010001142018,35001000525,36
350010001142019,35001000505,53
350010001142020,35001000505,61
350010001142021,35001000505,116
350010001142022,35001000505,58
350010001151000,35001000531,37
350010001151001,35001000531,61
350010001151002,35001000531,27
350010001151003,35001000531,690
350010001151004,35001000531,83
350010001151005,35001000531,115
350010001151006,35001000531,70
350010001151007,35001000531,51
350010001152000,35001000531,53
350010001152001,35001000531,66
350010001152002,35001000531,56
350010001152003,35001000531,0
350010001152004,35001000531,51
350010001152005,35001000533,42
350010001152006,35001000533,69
350010001152007,35001000533,57
350010001152008,35001000533,76
350010001152009,35001000531,83
350010001152010,35001000533,57
350010001152011,35001000533,50
350010001152012,35001000533,64
350010001152013,35001000533,40
350010001152014,35001000533,46
350010001152015,35001000533,34
350010001153000,35001000532,114
350010001153001,35001000532,99
350010001153002,35001000532,0
350010001153003,35001000532,14
350010001153004,35001000532,71
350010001153005,35001000532,50
350010001153006,35001000532,0
350010001153007,35001000532,61
350010001153008,35001000532,68
350010001153009,35001000532,43
350010001153010,35001000532,77
350010001153011,35001000532,67
350010001153012,35001000532,35
350010001153013,35001000532,61
350010001153014,35001000532,74
350010001153015,35001000532,34
350010001153016,35001000532,36
350010001153017,35001000533,66
350010001153018,35001000533,52
350010001153019,35001000533,60
350010001153020,35001000533,41
350010001153021,35001000533,0
350010001153022,35001000532,40
350010001153023,35001000533,43
350010001153024,35001000532,25
350010001153025,35001000532,54
350010001161000,35001000548,0
350010001161001,35001000548,0
350010001161002,35001000308,266
350010001161003,35001000308,70
350010001161004,35001000308,64
350010001161005,35001000308,60
350010001161006,35001000308,14
350010001161007,35001000540,87
350010001161008,35001000540,53
350010001161009,35001000540,94
350010001161010,35001000540,51
350010001161011,35001000540,80
350010001161012,35001000540,43
350010001161013,35001000540,76
350010001161014,35001000308,139
350010001161015,35001000308,40
350010001161016,35001000540,70
350010001161017,35001000540,59
350010001161018,35001000540,90
350010001161019,35001000540,56
350010001162000,35001000540,113
350010001162001,35001000540,26
350010001162002,35001000540,60
350010001162003,35001000540,27
350010001162004,35001000540,139
350010001162005,35001000540,27
350010001162006,35001000540,62
350010001162007,35001000540,48
350010001162008,35001000540,48
350010001162009,35001000540,77
350010001162010,35001000540,94
350010001162011,35001000540,37
350010001162012,35001000547,50
350010001162013,35001000547,624
350010001162014,35001000547,81
350010001162015,35001000547,0
350010001171000,35001000513,131
350010001171001,35001000513,33
350010001171002,35001000513,104
350010001171003,35001000513,50
350010001171004,35001000513,25
350010001171005,35001000513,28
350010001171006,35001000513,26
350010001171007,35001000513,47
350010001171008,35001000523,53
350010001171009,35001000523,25
350010001171010,35001000523,37
350010001171011,35001000523,30
350010001171012,35001000523,42
350010001171013,35001000513,64
350010001171014,35001000523,17
350010001171015,35001000523,118
350010001171016,35001000523,35
350010001171017,35001000523,34
350010001171018,35001000523,140
350010001171019,35001000523,78
350010001171020,35001000523,36
350010001172000,35001000388,169
350010001172001,35001000388,59
350010001172002,35001000388,47
350010001172003,35001000388,46
350010001172004,35001000388,22
350010001172005,35001000388,39
350010001172006,35001000388,30
350010001172007,35001000388,54
350010001172008,35001000388,59
350010001172009,35001000388,32
350010001172010,35001000388,19
350010001172011,35001000523,35
350010001172012,35001000523,38
350010001172013,35001000388,56
350010001172014,35001000523,56
350010001172015,35001000523,30
350010001172016,35001000388,51
350010001172017,35001000388,38
350010001172018,35001000388,55
350010001172019,35001000523,46
350010001172020,35001000523,27
350010001172021,35001000523,0
350010001172022,35001000523,42
350010001172023,35001000388,43
350010001172024,35001000388,16
350010001172025,35001000388,15
350010001172026,35001000388,0
350010001172027,35001000523,40
350010001181000,35001000498,710
350010001181001,35001000498,0
350010001181002,35001000498,124
350010001181003,35001000498,176
350010001181004,35001000496,50
350010001181005,35001000498,67
350010001181006,35001000496,73
350010001181007,35001000496,97
350010001181008,35001000496,47
350010001181009,35001000496,60
350010001181010,35001000496,76
350010001181011,35001000496,140
350010001181012,35001000496,140
350010001182000,35001000498,0
350010001182001,35001000498,59
350010001182002,35001000498,0
350010001182003,35001000498,303
350010001182004,35001000498,0
350010001182005,35001000498,76
350010001182006,35001000498,36
350010001182007,35001000498,63
350010001182008,35001000497,62
350010001182009,35001000497,53
350010001182010,35001000497,96
350010001182011,35001000497,40
350010001182012,35001000497,41
350010001182013,35001000497,42
350010001182014,35001000497,63
350010001182015,35001000497,0
350010001191000,35001000497,98
350010001191001,35001000497,125
350010001191002,35001000497,55
350010001191003,35001000497,80
350010001191004,35001000497,77
350010001191005,35001000493,150
350010001191006,35001000493,63
350010001191007,35001000497,40
350010001191008,35001000493,24
350010001191009,35001000493,25
350010001191010,35001000493,37
350010001191011,35001000493,29
350010001191012,35001000493,59
350010001191013,35001000493,46
350010001191014,35001000493,25
350010001191015,35001000493,22
350010001191016,35001000493,35
350010001191017,35001000493,13
350010001191018,35001000493,59
350010001191019,35001000493,44
350010001192000,35001000494,58
350010001192001,35001000494,29
350010001192002,35001000494,43
350010001192003,35001000494,59
350010001192004,35001000494,49
350010001192005,35001000494,43
350010001192006,35001000494,44
350010001192007,35001000494,42
350010001192008,35001000494,44
350010001192009,35001000494,22
350010001192010,35001000494,109
350010001192011,35001000494,17
350010001192012,35001000494,29
350010001192013,35001000494,34
350010001192014,35001000494,26
350010001192015,35001000494,53
350010001201000,35001000508,35
350010001201001,35001000508,40
350010001201002,35001000508,82
350010001201003,35001000508,88
350010001201004,35001000509,70
350010001201005,35001000509,79
350010001201006,35001000508,48
350010001201007,35001000508,74
350010001201008,35001000508,70
350010001201009,35001000508,50
350010001201010,35001000509,30
350010001201011,35001000509,65
350010001201012,35001000509,105
350010001201013,35001000509,75
350010001201014,35001000509,32
350010001201015,35001000509,0
350010001201016,35001000509,52
350010001201017,35001000508,46
350010001201018,35001000508,47
350010001201019,35001000508,40
350010001201020,35001000508,36
350010001201021,35001000509,13
350010001201022,35001000509,0
350010001201023,35001000508,36
350010001202000,35001000495,76
350010001202001,35001000495,762
350010001202002,35001000495,24
350010001202003,35001000495,46
350010001202004,35001000495,53
350010001202005,35001000495,68
350010001202006,35001000495,43
350010001202007,35001000495,16
350010001202008,35001000495,51
350010001202009,35001000495,69
350010001202010,35001000495,91
350010001202011,35001000495,71
350010001202012,35001000495,60
350010001202013,35001000495,33
350010001202014,35001000495,47
350010001202015,35001000495,22
350010001202016,35001000495,0
350010001202017,35001000495,36
350010001211000,35001000502,321
350010001211001,35001000502,85
350010001211002,35001000502,65
350010001211003,35001000502,40
350010001211004,35001000502,42
350010001211005,35001000502,51
350010001211006,35001000502,45
350010001211007,35001000502,59
350010001211008,35001000502,148
350010001211009,35001000502,58
350010001211010,35001000502,66
350010001211011,35001000502,43
350010001211012,35001000502,92
350010001211013,35001000502,79
350010001211014,35001000502,97
350010001211015,35001000502,67
350010001211016,35001000502,44
350010001211017,35001000502,33
350010001212000,35001000463,0
350010001212001,35001000463,50
350010001212002,35001000463,43
350010001212003,35001000463,52
350010001212004,35001000463,72
350010001212005,35001000463,72
350010001212006,35001000463,79
350010001212007,35001000463,32
350010001212008,35001000463,84
350010001212009,35001000463,88
350010001212010,35001000464,47
350010001212011,35001000464,98
350010001212012,35001000464,0
350010001212013,35001000464,0
350010001212014,35001000464,58
350010001212015,35001000464,90
350010001212016,35001000464,93
350010001212017,35001000464,80
350010001212018,35001000463,39
350010001212019,35001000464,66
350010001212020,35001000464,28
350010001213000,35001000465,188
350010001213001,35001000465,920
350010001213002,35001000465,13
350010001214000,35001000461,61
350010001214001,35001000461,54
350010001214002,35001000461,66
350010001214003,35001000461,61
350010001214004,35001000461,69
350010001214005,35001000461,33
350010001214006,35001000461,35
350010001214007,35001000461,77
350010001214008,35001000461,46
350010001214009,35001000461,64
350010001214010,35001000462,104
350010001214011,35001000462,37
350010001214012,35001000462,66
350010001214013,35001000462,48
350010001214014,35001000461,83
350010001214015,35001000461,117
350010001214016,35001000462,60
350010001214017,35001000462,73
350010001214018,35001000462,60
350010001214019,35001000462,67
350010001214020,35001000462,41
350010001214021,35001000462,57
350010001214022,35001000462,78
350010001215000,35001000463,63
350010001215001,35001000463,69
350010001215002,35001000465,30
350010001215003,35001000465,65
350010001215004,35001000465,64
350010001215005,35001000465,68
350010001215006,35001000465,64
350010001215007,35001000465,79
350010001215008,35001000465,72
350010001215009,35001000464,65
350010001215010,35001000464,59
350010001215011,35001000464,0
350010001221000,35001000466,0
350010001221001,35001000466,33
350010001221002,35001000466,80
350010001221003,35001000466,71
350010001221004,35001000466,28
350010001221005,35001000466,54
350010001221006,35001000466,10
350010001221007,35001000466,9
350010001221008,35001000466,0
350010001221009,35001000466,11
350010001221010,35001000466,0
350010001221011,35001000466,0
350010001221012,35001000414,21
350010001221013,35001000414,28
350010001221014,35001000414,21
350010001221015,35001000414,41
350010001221016,35001000414,58
350010001221017,35001000414,53
350010001221018,35001000414,46
350010001221019,35001000414,0
350010001221020,35001000414,0
350010001221021,35001000414,0
350010001221022,35001000414,64
350010001221023,35001000414,43
350010001221024,35001000414,51
350010001221025,35001000414,21
350010001221026,35001000414,0
350010001221027,35001000414,0
350010001221028,35001000414,32
350010001221029,35001000414,37
350010001221030,35001000414,0
350010001221031,35001000415,43
350010001221032,35001000415,61
350010001221033,35001000415,19
350010001222000,35001000466,87
350010001222001,35001000466,73
350010001222002,35001000466,78
350010001222003,35001000466,74
350010001222004,35001000466,77
350010001222005,35001000492,22
350010001222006,35001000492,31
350010001222007,35001000492,44
350010001222008,35001000492,39
350010001222009,35001000492,54
350010001222010,35001000466,51
350010001222011,35001000466,55
350010001222012,35001000466,40
350010001222013,35001000466,15
350010001222014,35001000466,0
350010001222015,35001000466,0
350010001222016,35001000466,0
350010001222017,35001000466,0
350010001222018,35001000466,0
350010001222019,35001000466,0
350010001222020,35001000492,33
350010001222021,35001000492,54
350010001222022,35001000492,42
350010001223000,35001000492,38
350010001223001,35001000491,58
350010001223002,35001000491,70
350010001223003,35001000491,44
350010001223004,35001000491,62
350010001223005,35001000491,40
350010001223006,35001000491,57
350010001223007,35001000492,36
350010001223008,35001000492,45
350010001223009,35001000492,29
