,block_vtda,DISTRICT
354,35001000358,16
355,35001000359,15
356,35001000360,21
357,35001000361,21
358,35001000362,21
359,35001000363,16
360,35001000364,20
361,35001000365,18
362,35001000366,18
363,35001000367,11
364,35001000368,18
365,35001000369,13
366,35001000370,15
367,35001000371,16
368,35001000372,18
369,35001000373,18
370,35001000374,16
371,35001000375,15
372,35001000376,18
373,35001000377,16
374,35001000378,17
375,35001000379,17
376,35001000380,18
377,35001000381,16
378,35001000382,16
379,35001000383,16
380,35001000384,16
381,35001000385,16
382,35001000386,16
383,35001000387,16
384,35001000388,18
385,35001000389,20
386,35001000390,21
387,35001000391,20
388,35001000392,19
389,35001000393,19
390,35001000394,26
391,35001000395,20
392,35001000396,18
393,35001000397,18
394,35001000398,21
395,35001000399,26
396,35001000400,15
397,35001000401,15
398,35001000402,15
399,35001000403,15
400,35001000404,15
401,35001000405,15
402,35001000406,15
403,35001000407,15
404,35001000408,15
405,35001000409,15
406,35001000410,21
407,35001000411,15
408,35001000412,18
409,35001000413,18
410,35001000414,18
411,35001000415,18
412,35001000416,18
413,35001000417,18
414,35001000418,21
415,35001000419,21
416,35001000420,21
417,35001000421,15
418,35001000422,21
419,35001000423,21
420,35001000424,21
421,35001000425,21
422,35001000426,21
423,35001000427,21
424,35001000428,18
425,35001000429,21
426,35001000430,21
427,35001000431,15
428,35001000432,15
429,35001000433,15
430,35001000434,15
431,35001000435,15
432,35001000436,15
433,35001000437,15
434,35001000438,15
435,35001000439,15
436,35001000440,15
437,35001000441,15
438,35001000442,15
439,35001000443,15
440,35001000444,15
441,35001000445,15
442,35001000446,15
443,35001000447,21
444,35001000448,21
445,35001000449,18
446,35001000450,18
447,35001000451,18
448,35001000452,18
449,35001000453,18
450,35001000454,18
451,35001000455,13
452,35001000456,21
453,35001000457,21
454,35001000458,21
455,35001000459,21
456,35001000460,21
457,35001000461,18
458,35001000462,18
459,35001000463,18
460,35001000464,20
461,35001000465,18
462,35001000466,15
463,35001000467,21
464,35001000468,21
465,35001000469,21
466,35001000470,21
467,35001000471,18
468,35001000472,20
469,35001000473,20
470,35001000474,20
471,35001000475,18
472,35001000476,17
473,35001000477,17
474,35001000478,17
475,35001000479,21
476,35001000480,20
477,35001000481,15
478,35001000482,18
479,35001000483,18
480,35001000484,18
481,35001000485,21
482,35001000486,21
483,35001000487,21
484,35001000488,15
485,35001000489,21
486,35001000490,15
487,35001000491,15
488,35001000492,15
489,35001000493,15
490,35001000494,15
491,35001000495,18
492,35001000496,15
493,35001000497,15
494,35001000498,15
495,35001000499,15
496,35001000500,15
497,35001000501,21
498,35001000502,18
499,35001000503,20
500,35001000504,20
501,35001000505,20
502,35001000506,20
503,35001000507,18
504,35001000508,18
505,35001000509,18
506,35001000510,21
507,35001000511,15
508,35001000512,18
509,35001000513,15
510,35001000514,18
511,35001000515,18
512,35001000516,20
513,35001000517,18
514,35001000518,18
515,35001000519,20
516,35001000520,21
517,35001000521,18
518,35001000522,18
519,35001000523,18
520,35001000524,18
521,35001000525,20
522,35001000526,20
523,35001000527,20
524,35001000528,18
525,35001000529,18
526,35001000530,20
527,35001000531,20
528,35001000532,20
529,35001000533,20
530,35001000534,20
531,35001000535,20
532,35001000536,20
533,35001000537,20
534,35001000538,18
535,35001000539,19
536,35001000540,20
537,35001000541,21
538,35001000542,20
539,35001000543,20
540,35001000544,20
541,35001000545,20
542,35001000546,20
543,35001000547,20
544,35001000548,20
545,35001000549,20
546,35001000550,20
547,35001000551,19
548,35001000552,19
549,35001000553,19
550,35001000554,19
551,35001000555,19
552,35001000556,19
553,35001000557,19
554,35001000558,19
555,35001000559,19
556,35001000560,21
557,35001000561,20
558,35001000562,18
559,35001000563,18
560,35001000564,20
561,35001000565,20
562,35001000566,20
563,35001000567,19
564,35001000568,21
565,35001000569,19
566,35001000570,19
567,35001000571,19
568,35001000572,19
569,35001000573,19
570,35001000574,19
571,35001000575,19
572,35001000576,19
573,35001000577,19
574,35001000578,19
575,35001000579,19
576,35001000580,19
577,35001000581,15
578,35001000582,19
579,35001000583,18
580,35001000584,21
581,35001000585,21
582,35001000586,21
583,35001000587,21
584,35001000588,21
585,35001000589,21
586,35001000590,21
587,35001000591,17
588,35001000592,21
589,35001000593,21
590,35001000594,21
591,35001000595,19
592,35001000596,19
593,35001000597,19
594,35001000598,21
595,35001000599,26
596,35001000600,14
597,35001000601,21
598,35001000602,21
599,35001000603,20
600,35001000604,11
601,35001000605,10
602,35001000606,23
603,35001000607,26
604,35001000608,21
605,35001000609,23
606,35001000610,12
607,35001000611,23
608,35001000612,23
609,35001000613,13
610,35003000001,35
611,35003000002,35
612,35003000003,35
613,35003000004,35
614,35003000005,35
615,35003000006,35
616,35003000007,35
617,35003000008,35
618,35003000009,35
619,35005000001,27
620,35005000002,27
621,35005000003,27
622,35005000004,27
623,35005000005,27
624,35005000006,27
625,35005000007,27
626,35005000008,27
627,35005000009,27
628,35005000010,27
629,35005000011,27
630,35005000012,27
631,35005000013,27
632,35005000014,32
633,35005000015,32
634,35005000016,32
635,35005000017,27
636,35005000020,27
637,35005000021,27
638,35005000022,27
639,35005000023,32
640,35005000024,32
641,35005000025,32
642,35005000031,32
643,35005000032,32
644,35005000033,32
645,35005000034,32
646,35005000035,32
647,35005000036,33
648,35005000041,27
649,35005000042,32
650,35005000043,27
651,35005000044,27
652,35005000045,27
653,35005000046,27
654,35005000047,42
655,35005000051,32
656,35005000052,32
657,35005000061,32
658,35005000062,32
659,35005000063,32
660,35005000064,32
661,35005000071,32
662,35005000072,32
663,35005000073,32
664,35005000074,32
665,35005000081,32
666,35005000082,32
667,35005000083,32
668,35005000084,32
669,35005000085,32
670,35005000090,32
671,35005000091,32
672,35005000092,32
673,35005000093,32
674,35005000094,32
675,35005000095,32
676,35005000101,32
677,35005000102,32
678,35005000103,32
679,35005000104,32
680,35005000105,33
681,35005000106,32
682,35006000001,30
683,35006000002,30
684,35006000003,30
685,35006000004,4
686,35006000005,4
687,35006000006,4
688,35006000007,4
689,35006000008,4
690,35006000009,30
691,35006000010,4
692,35006000011,4
693,35006000012,4
694,35006000013,4
695,35006000014,4
696,35006000015,4
697,35006000016,4
698,35006000017,30
699,35006000018,30
700,35006000019,30
701,35006000020,30
702,35006000021,30
703,35006000022,30
704,35006000023,30
705,35006000024,30
706,35006000025,30
707,35006000026,4
708,35006000027,30
709,35006000028,4
710,35006000029,30
711,35007000001,8
712,35007000002,8
713,35007000003,8
714,35007000004,8
715,35007000005,8
716,35007000007,8
717,35007000008,8
718,35007000009,8
719,35007000010,8
720,35007000011,8
721,35007000012,8
722,35007000013,8
723,35007000014,8
724,35007000015,8
725,35007000016,8
726,35007000017,8
727,35007000018,8
728,35007000019,8
729,35007000020,8
730,35007000021,8
731,35007000022,8
732,35009000001,7
733,35009000002,7
734,35009000003,7
735,35009000004,7
736,35009000005,27
737,35009000006,7
738,35009000007,7
739,35009000008,7
740,35009000009,7
741,35009000010,7
742,35009000011,7
743,35009000012,7
744,35009000013,7
745,35009000014,7
746,35009000015,7
747,35009000016,7
748,35009000017,7
749,35009000018,7
750,35009000019,7
751,35009000020,7
752,35009000021,7
753,35009000022,7
