,block_vtda,total,nh_black,weighted_blk_sl_dist
1679,220570010-4,849,3,25293.277667128943
1680,220570010-5,1177,16,35093.3953479212
1681,220570010-6,742,3,22168.39539210392
1682,220570010-7,452,5,13705.550000137287
1683,220570010-8,815,15,24444.103161456707
1684,220570010-9,1098,9,32871.144353299285
1685,220570011-1,540,3,14537.651962730646
1686,220570011-2,4443,231,111714.24571396962
1687,220570011-3,2264,194,55844.3446206569
1688,220570011-4,770,53,18967.945520157453
1689,220570011-5,2298,135,57047.8955390566
1690,22057002-10,705,281,16604.238421603193
1691,22057002-11,1847,1065,43444.867259022336
1692,22057002-12,1854,83,43924.51483285863
1693,22057002-13,1771,320,42448.475998594586
1694,22057002-14,2481,1535,58383.86760044563
1695,22057002-1A,493,168,11522.244350119985
1696,22057002-3A,237,146,5627.572452198314
1697,22057005-1A,1116,164,26970.56313435933
1698,22057005-1B,884,404,21290.526641582732
1699,22057010-10,1498,27,44799.41330045318
1700,22057010-11,1396,70,41732.07180557825
1701,22057010-12,1337,21,39975.76525320161
1702,22057010-13,1216,15,36234.03446436592
1703,22057010-14,1604,10,46787.0448893917
1704,22057010-15,1362,9,38705.32853704078
1705,22057010-16,1126,130,30766.360207513157
1706,220590001-1,420,0,13815.271126148406
1707,220590001-2,172,2,5527.219079034516
1708,220590001-3,778,16,25021.438886781474
1709,220590002-1,1253,26,40026.783843117664
1710,220590003-1,1211,85,38691.78559596297
1711,220590003-2,446,9,14214.016749432109
1712,220590004-2,586,10,19480.466537784592
1713,220590004-3,206,2,6630.974781622536
1714,220590005-1,1907,123,63365.494411723055
1715,220590006-1,946,98,31438.71888087491
1716,220590006-2,551,106,18271.26017765732
1717,220590007-1,945,19,30913.692874616463
1718,220590007-2,1624,135,53143.90362191701
1719,220590008-2,292,6,9216.203354562442
1720,220590008-3,272,3,8735.974856441482
1721,220590008-5,156,0,4939.894845894049
1722,220590008-6,146,0,4623.257677803695
1723,220590008-7,441,0,14083.075990837942
1724,220590009-1,620,8,20563.086507704975
1725,220590009-2,403,4,13040.307281088615
1726,220590009-3,173,1,5780.624205666361
1727,220590009-4,32,0,1052.8816638090889
1728,220590009-5,106,0,3488.2517293806304
1729,220590010-1,1105,630,36699.41048381288
1730,220610001-1,2952,2746,110190.2515255731
1731,220610001-2,723,420,27215.756013651255
1732,220610001-3,738,477,27191.877100130714
1733,220610002-1,2637,2336,98895.60230024971
1734,220610002-2,324,133,12006.317225604127
1735,220610003-1,1003,454,38058.36801222078
1736,220610003-2,866,81,32579.443549654057
1737,220610003-3,803,269,30483.79045326193
1738,220610003-4,882,212,33357.83307228603
1739,220610003-5,483,21,17833.876599945936
1740,220610003-6,152,4,5705.161604717715
1741,220610004-1,435,20,16185.253139936285
